experiment,build,cell,aggregate_tps,ttft_avg_ms,ttft_p99_ms,itl_avg_ms,per_user_tps,spec_accept_rate,server_utilization
fp8-mtp3,repne-fork,c1_ctx0,120.14,65.0,69.3,8.191,122.1,0.4148,0.0054
fp8-mtp3,repne-fork,c1_ctx131072,93.69,783.0,790.6,10.174,98.3,0.6944,0.0725
fp8-mtp3,repne-fork,c2_ctx0,223.83,241.8,838.2,8.154,122.6,0.6466,0.0116
fp8-mtp3,repne-fork,c2_ctx131072,183.41,1102.2,1543.8,10.487,95.4,0.5602,0.0791
fp8-mtp3,repne-fork,c4_ctx0,449.46,126.7,199.1,8.551,116.9,0.5758,0.0240
fp8-mtp3,repne-fork,c4_ctx131072,347.44,1911.7,3310.6,11.021,90.7,0.5429,0.0911
fp8-mtp3,upstream-v0.20.1,c1_ctx0,112.27,68.7,73.5,8.845,113.1,0.5159,0.0063
fp8-mtp3,upstream-v0.20.1,c1_ctx131072,98.96,766.8,767.4,9.774,102.3,0.4474,0.0732
fp8-mtp3,upstream-v0.20.1,c2_ctx0,197.03,395.1,1301.6,9.820,101.8,0.4878,0.0117
fp8-mtp3,upstream-v0.20.1,c2_ctx131072,183.93,1104.4,1413.2,10.357,96.6,0.4369,0.0799
fp8-mtp3,upstream-v0.20.1,c4_ctx0,413.81,156.0,378.3,9.561,104.6,0.4939,0.0251
fp8-mtp3,upstream-v0.20.1,c4_ctx131072,344.97,2050.4,3251.0,11.056,90.4,0.5952,0.0916
bf16-dflash,repne-fork,c1_ctx0,98.85,71.0,79.5,9.850,101.5,0.2463,0.0173
bf16-dflash,repne-fork,c1_ctx131072,81.41,735.5,744.9,10.832,92.3,0.1653,0.1432
bf16-dflash,repne-fork,c2_ctx0,184.53,164.9,261.8,10.726,93.2,0.1719,0.0329
bf16-dflash,repne-fork,c2_ctx131072,162.66,1095.9,1441.6,11.180,89.4,0.3642,0.1604
bf16-dflash,repne-fork,c4_ctx0,358.44,143.7,171.1,10.946,91.4,0.2115,0.0658
bf16-dflash,repne-fork,c4_ctx131072,284.43,1568.9,2766.5,12.117,82.5,0.2998,0.1958
bf16-dflash,upstream-v0.20.1,c1_ctx0,85.52,59.2,60.6,11.110,90.0,0.1680,0.0168
bf16-dflash,upstream-v0.20.1,c1_ctx131072,11.66,762.0,762.0,86.615,11.5,0.0125,0.1464
bf16-dflash,upstream-v0.20.1,c2_ctx0,153.85,452.0,1139.2,12.136,82.4,0.2339,0.0328
bf16-dflash,upstream-v0.20.1,c2_ctx131072,22.41,1335.4,1557.1,90.366,11.1,0.0312,0.1641
bf16-dflash,upstream-v0.20.1,c4_ctx0,290.91,181.7,407.6,12.561,79.6,0.2672,0.0640
bf16-dflash,upstream-v0.20.1,c4_ctx131072,44.68,2209.8,2668.7,90.636,11.0,0.0208,0.1995
nvfp4-mtp3-run1,upstream-v0.20.1,c1_ctx0,107.42,137.2,138.4,9.183,108.9,0.3953,0.0049
nvfp4-mtp3-run2,upstream-v0.20.1,c1_ctx0,108.71,148.3,160.3,9.079,110.1,0.3953,0.0049
nvfp4-mtp3-run3,upstream-v0.20.1,c1_ctx0,112.05,148.7,149.4,8.867,112.8,0.7907,0.0049
nvfp4-mtp3-run1,upstream-v0.20.1,c1_ctx131072,55.35,18621.1,18621.1,8.802,113.6,0.5196,0.0325
nvfp4-mtp3-run2,upstream-v0.20.1,c1_ctx131072,54.67,18661.6,18661.6,8.554,116.9,0.6222,0.0325
nvfp4-mtp3-run3,upstream-v0.20.1,c1_ctx131072,55.37,18666.8,18666.8,9.377,106.6,1.0000,0.0325
nvfp4-mtp3-run1,upstream-v0.20.1,c1_ctx32000,103.85,2954.8,2956.9,8.709,114.8,0.6032,0.0115
nvfp4-mtp3-run2,upstream-v0.20.1,c1_ctx32000,102.18,2961.2,2962.4,8.656,115.5,0.4651,0.0115
nvfp4-mtp3-run3,upstream-v0.20.1,c1_ctx32000,97.58,2952.6,2953.4,9.094,110.0,0.5794,0.0115
nvfp4-mtp3-run1,upstream-v0.20.1,c2_ctx0,205.85,284.7,498.6,9.479,105.5,0.5159,0.0098
nvfp4-mtp3-run2,upstream-v0.20.1,c2_ctx0,209.24,167.3,196.4,9.357,106.9,0.5516,0.0098
nvfp4-mtp3-run3,upstream-v0.20.1,c2_ctx0,205.23,210.1,304.9,9.588,104.3,0.3821,0.0098
nvfp4-mtp3-run1,upstream-v0.20.1,c2_ctx131072,106.72,28595.4,37758.0,14.817,67.5,0.5000,0.0656
nvfp4-mtp3-run2,upstream-v0.20.1,c2_ctx131072,105.12,28623.4,37782.3,15.213,65.7,0.4958,0.0656
nvfp4-mtp3-run3,upstream-v0.20.1,c2_ctx131072,105.06,28815.8,38123.8,15.113,66.2,0.4365,0.0656
nvfp4-mtp3-run1,upstream-v0.20.1,c2_ctx32000,180.41,3812.4,5881.0,10.287,97.2,0.6750,0.0230
nvfp4-mtp3-run2,upstream-v0.20.1,c2_ctx32000,175.54,3804.7,5863.7,10.655,93.9,0.4756,0.0230
nvfp4-mtp3-run3,upstream-v0.20.1,c2_ctx32000,179.41,3804.5,5861.1,10.332,96.8,0.6429,0.0230
nvfp4-mtp3-run1,upstream-v0.20.1,c4_ctx0,406.43,244.8,425.4,9.609,104.1,0.5528,0.0195
nvfp4-mtp3-run2,upstream-v0.20.1,c4_ctx0,416.23,252.1,322.0,9.368,106.7,0.5000,0.0195
nvfp4-mtp3-run3,upstream-v0.20.1,c4_ctx0,427.17,227.8,296.4,9.187,108.8,0.5528,0.0195
nvfp4-mtp3-run1,upstream-v0.20.1,c4_ctx131072,6.90,39160.8,57889.1,328.844,3.0,0.4444,0.0325
nvfp4-mtp3-run2,upstream-v0.20.1,c4_ctx131072,7.40,38566.9,57318.2,311.604,3.2,0.4444,0.0325
nvfp4-mtp3-run3,upstream-v0.20.1,c4_ctx131072,6.74,38887.4,57630.7,322.533,3.1,0.3333,0.0325
nvfp4-mtp3-run1,upstream-v0.20.1,c4_ctx32000,272.92,6076.9,11629.4,80.069,12.5,1.0000,0.0112
nvfp4-mtp3-run2,upstream-v0.20.1,c4_ctx32000,282.28,5634.3,11646.8,20.080,49.8,0.5556,0.0112
nvfp4-mtp3-run3,upstream-v0.20.1,c4_ctx32000,275.94,6065.9,11639.3,36.587,27.3,0.8333,0.0447
exp1-morning-run1,repne-fork,c1_ctx128k,90.04,752.4,754.0,10.467,95.5,0.3145,0.1432
exp1-morning-run2,repne-fork,c1_ctx128k,87.69,747.1,748.3,10.572,94.6,0.3024,0.1432
exp1-morning-run3,repne-fork,c1_ctx128k,94.09,750.7,760.3,10.159,98.4,0.3427,0.1440
exp1-morning-run4,repne-fork,c1_ctx128k,89.87,742.5,756.3,10.593,94.4,0.2375,0.1432
exp1-morning-run5,repne-fork,c1_ctx128k,88.61,768.7,797.2,10.679,93.6,0.2419,0.1432
exp1-morning-run1,repne-fork,c2_ctx244k,159.76,1730.5,2183.2,11.806,84.7,0.2199,0.2756
exp1-morning-run2,repne-fork,c2_ctx244k,139.77,1684.4,2291.0,12.404,80.6,0.2500,0.2756
exp1-morning-run3,repne-fork,c2_ctx244k,141.46,1679.5,2168.0,12.426,80.5,0.2292,0.2756
exp1-morning-run4,repne-fork,c2_ctx244k,134.93,1575.9,2113.2,12.470,80.2,0.2685,0.2748
exp1-morning-run5,repne-fork,c2_ctx244k,153.42,1600.7,2175.2,12.158,82.3,0.2616,0.2756
exp1-morning-run1,repne-fork,c2_ctx250k,130.92,1797.4,2320.3,12.578,79.5,0.1829,0.2814
exp1-morning-run2,repne-fork,c2_ctx250k,137.93,1710.0,2306.2,12.567,79.6,0.1782,0.2814
exp1-morning-run3,repne-fork,c2_ctx250k,131.23,1659.4,2211.5,12.826,78.0,0.1851,0.2814
exp1-morning-run4,repne-fork,c2_ctx250k,133.24,1663.0,2219.3,12.582,79.5,0.2236,0.2814
exp1-morning-run5,repne-fork,c2_ctx250k,137.26,1811.0,2288.6,12.418,80.5,0.3079,0.2814
exp1-morning-run1,repne-fork,c4_ctx0,331.55,155.8,216.1,11.561,86.5,0.2329,0.0658
exp1-morning-run2,repne-fork,c4_ctx0,331.62,133.3,153.1,11.412,87.6,0.2268,0.0658
exp1-morning-run3,repne-fork,c4_ctx0,324.15,247.6,374.7,11.677,85.6,0.2046,0.0658
exp1-morning-run4,repne-fork,c4_ctx0,342.99,148.3,190.6,11.301,88.5,0.2581,0.0658
exp1-morning-run5,repne-fork,c4_ctx0,332.48,138.6,208.3,11.519,86.8,0.2228,0.0658
exp1-morning-run1,repne-fork,c4_ctx128k,297.59,1585.1,2817.7,12.323,81.1,0.2477,0.1950
exp1-morning-run2,repne-fork,c4_ctx128k,286.54,1424.8,2558.5,12.621,79.2,0.2377,0.1942
exp1-morning-run3,repne-fork,c4_ctx128k,284.22,1541.4,2685.2,12.208,81.9,0.2361,0.1942
exp1-morning-run4,repne-fork,c4_ctx128k,292.14,1572.0,2764.9,12.197,82.0,0.2604,0.1950
exp1-morning-run5,repne-fork,c4_ctx128k,289.45,1552.5,2713.6,12.493,80.0,0.2701,0.1942
